Date;Open;High;Low;Close
01-Jan-14;754.97;775.35;754.97;771.40
02-Jan-14;773.44;820.31;767.21;802.39
03-Jan-14;802.85;834.15;789.12;818.72
04-Jan-14;823.27;859.51;801.67;859.51
05-Jan-14;858.55;952.40;854.52;933.53
06-Jan-14;936.05;1017.12;905.71;953.29
07-Jan-14;946.49;965.74;802.00;802.00
08-Jan-14;795.99;870.68;776.18;842.72
09-Jan-14;841.47;864.36;804.14;846.86
10-Jan-14;846.69;871.19;822.60;868.48
11-Jan-14;867.32;921.48;861.72;913.95
12-Jan-14;919.60;928.52;851.17;863.22
13-Jan-14;860.19;861.29;806.05;841.20
14-Jan-14;843.17;855.69;825.66;833.27
15-Jan-14;833.12;872.81;830.86;860.90
16-Jan-14;860.29;866.16;835.63;835.63
17-Jan-14;834.49;842.91;797.63;814.64
18-Jan-14;816.07;841.49;816.07;840.00
19-Jan-14;839.66;870.96;825.53;870.96
20-Jan-14;871.39;886.39;853.87;870.20
21-Jan-14;869.65;881.20;855.93;863.91
22-Jan-14;867.21;870.15;837.36;845.59
23-Jan-14;845.46;851.57;819.32;822.04
24-Jan-14;822.43;822.43;783.58;797.07
25-Jan-14;796.24;861.45;792.96;853.61
26-Jan-14;853.68;897.02;844.86;885.28
27-Jan-14;884.60;893.00;757.11;771.39
28-Jan-14;774.02;832.50;766.98;812.51
29-Jan-14;809.96;836.87;809.85;826.00
30-Jan-14;826.02;830.50;799.06;819.03
31-Jan-14;818.43;831.87;812.60;829.92
01-Feb-14;828.61;853.52;827.11;832.58
02-Feb-14;832.90;844.72;820.67;825.37
03-Feb-14;824.08;826.48;807.22;823.83
04-Feb-14;823.77;840.17;820.94;827.96
05-Feb-14;829.96;837.32;811.91;811.91
06-Feb-14;815.59;819.81;770.59;781.55
07-Feb-14;783.20;783.20;654.35;712.40
08-Feb-14;699.57;721.82;661.87;673.92
09-Feb-14;671.46;712.27;655.25;682.90
10-Feb-14;681.32;703.71;550.50;681.03
11-Feb-14;683.50;712.46;636.66;672.17
12-Feb-14;672.38;672.90;643.04;651.72
13-Feb-14;651.08;657.99;601.91;605.24
14-Feb-14;601.17;691.72;541.04;661.99
15-Feb-14;660.90;661.84;632.84;650.92
16-Feb-14;651.30;665.10;584.17;616.63
17-Feb-14;614.23;656.95;607.31;626.27
18-Feb-14;627.16;645.76;612.54;626.60
19-Feb-14;625.97;631.77;618.70;623.03
20-Feb-14;623.09;627.73;556.14;556.14
21-Feb-14;556.88;582.96;530.47;574.16
22-Feb-14;574.24;614.48;558.58;605.42
23-Feb-14;606.47;639.91;599.70;605.82
24-Feb-14;606.04;607.61;538.70;546.32
25-Feb-14;540.24;541.38;420.41;538.71
26-Feb-14;537.04;603.80;532.58;582.69
27-Feb-14;581.65;594.05;566.62;578.77
28-Feb-14;579.70;584.14;545.17;549.26
01-Mar-14;549.92;573.38;539.29;565.61
02-Mar-14;567.23;570.48;553.27;559.79
03-Mar-14;562.56;702.91;560.52;667.76
04-Mar-14;668.24;696.22;655.68;666.78
05-Mar-14;666.24;674.28;646.28;665.51
06-Mar-14;664.52;669.77;649.79;663.86
07-Mar-14;664.31;665.34;616.35;629.15
08-Mar-14;629.66;635.14;604.46;617.45
09-Mar-14;616.31;643.95;612.35;636.96
10-Mar-14;636.33;644.76;615.02;627.79
11-Mar-14;627.95;638.42;618.84;634.11
12-Mar-14;631.91;648.03;629.51;632.10
13-Mar-14;633.62;644.20;630.85;638.14
14-Mar-14;638.14;639.53;627.21;628.80
15-Mar-14;629.37;639.14;627.30;636.12
16-Mar-14;636.50;637.52;628.11;631.11
17-Mar-14;630.92;632.68;616.85;622.37
18-Mar-14;621.84;622.39;603.80;614.83
19-Mar-14;613.90;622.00;609.10;609.89
20-Mar-14;609.74;609.74;587.49;588.77
21-Mar-14;588.29;604.59;561.81;571.49
22-Mar-14;571.18;572.55;554.39;565.04
23-Mar-14;565.76;570.24;560.88;561.27
24-Mar-14;562.51;586.56;551.77;583.41
25-Mar-14;585.03;585.44;572.60;583.92
26-Mar-14;583.48;590.03;570.96;580.83
27-Mar-14;580.26;580.56;471.24;471.24
28-Mar-14;477.14;526.02;473.23;495.67
29-Mar-14;501.71;504.86;489.73;491.17
30-Mar-14;492.37;492.37;444.18;460.27
31-Mar-14;462.30;483.02;443.36;457.00
01-Apr-14;457.00;495.34;457.00;478.38
02-Apr-14;479.14;495.05;431.27;437.14
03-Apr-14;436.44;449.57;414.89;444.72
04-Apr-14;445.66;454.65;429.09;447.53
05-Apr-14;446.67;463.57;444.20;461.91
06-Apr-14;463.40;466.32;452.97;460.50
07-Apr-14;461.47;462.56;445.12;449.42
08-Apr-14;447.61;457.42;446.11;453.09
09-Apr-14;453.18;455.73;441.93;442.73
10-Apr-14;442.26;443.37;358.73;365.18
11-Apr-14;363.71;429.77;351.27;420.95
12-Apr-14;420.89;439.61;415.79;421.12
13-Apr-14;421.46;427.40;395.25;414.06
14-Apr-14;414.83;469.75;407.37;458.79
15-Apr-14;458.37;519.00;453.54;515.59
16-Apr-14;522.18;542.38;502.78;527.40
17-Apr-14;529.07;533.52;484.87;495.96
18-Apr-14;495.80;498.60;472.74;479.64
19-Apr-14;479.58;503.55;470.56;501.57
20-Apr-14;501.75;510.87;490.84;498.17
21-Apr-14;497.74;510.57;493.20;495.77
22-Apr-14;495.45;503.22;487.58;487.92
23-Apr-14;488.36;493.25;485.82;491.30
24-Apr-14;490.83;500.46;482.95;500.46
25-Apr-14;500.09;500.30;442.95;461.45
26-Apr-14;461.70;464.54;449.10;458.60
27-Apr-14;457.24;459.33;436.39;436.39
28-Apr-14;430.72;447.53;422.94;440.29
29-Apr-14;439.98;451.64;435.18;447.21
30-Apr-14;446.89;451.10;436.70;447.64
01-May-14;447.63;460.61;447.63;457.76
02-May-14;457.36;457.93;443.40;449.38
03-May-14;449.40;449.40;430.68;437.76
04-May-14;438.52;439.77;430.05;436.40
05-May-14;434.78;440.97;427.62;433.48
06-May-14;433.36;448.04;423.25;428.96
07-May-14;429.34;446.13;428.45;438.82
08-May-14;438.68;448.40;438.14;440.17
09-May-14;440.18;452.69;440.14;449.46
10-May-14;450.46;455.77;448.47;454.43
11-May-14;453.92;455.34;433.40;438.89
12-May-14;438.30;442.26;434.23;441.46
13-May-14;441.53;441.98;436.97;440.67
14-May-14;440.59;446.66;440.50;443.97
15-May-14;444.14;449.80;443.63;447.25
16-May-14;447.39;450.66;444.96;448.06
17-May-14;448.12;451.98;447.30;448.90
18-May-14;448.70;449.77;444.78;446.26
19-May-14;446.08;447.55;443.10;446.18
20-May-14;446.30;491.44;446.01;485.72
21-May-14;485.80;494.37;483.49;491.77
22-May-14;492.05;525.36;490.19;524.58
23-May-14;525.72;541.96;520.08;520.22
24-May-14;521.05;525.17;516.28;525.14
25-May-14;525.23;576.48;525.23;571.59
26-May-14;571.39;588.39;565.33;583.42
27-May-14;582.59;589.52;554.43;571.24
28-May-14;571.91;578.62;564.09;577.06
29-May-14;576.33;577.10;561.60;568.18
30-May-14;568.18;618.46;568.16;615.33
31-May-14;615.69;624.72;604.47;623.68
01-Jun-14;623.69;671.51;619.91;630.23
02-Jun-14;629.65;665.50;618.74;660.62
03-Jun-14;660.55;674.11;650.78;667.60
04-Jun-14;666.77;668.56;624.09;641.61
05-Jun-14;641.07;663.53;640.09;659.26
06-Jun-14;659.28;661.37;652.30;653.70
07-Jun-14;653.52;656.94;644.91;654.97
08-Jun-14;654.99;658.88;653.47;656.14
09-Jun-14;655.64;657.70;644.39;649.16
10-Jun-14;650.04;659.61;646.56;653.15
11-Jun-14;653.19;657.04;632.55;633.02
12-Jun-14;633.43;638.11;573.27;586.95
13-Jun-14;585.70;615.14;585.70;600.16
14-Jun-14;600.75;601.27;549.82;577.36
15-Jun-14;575.93;592.94;554.89;592.94
16-Jun-14;592.65;608.72;587.07;592.19
17-Jun-14;591.59;610.89;590.40;610.86
18-Jun-14;609.77;615.88;604.40;607.96
19-Jun-14;608.07;612.24;597.02;598.07
20-Jun-14;597.40;599.75;587.76;594.15
21-Jun-14;593.68;599.46;587.74;594.99
22-Jun-14;595.90;606.00;594.63;602.27
23-Jun-14;602.16;603.21;586.34;593.98
24-Jun-14;593.97;596.97;582.36;582.36
25-Jun-14;581.81;583.60;565.63;566.34
26-Jun-14;566.14;581.63;564.73;581.14
27-Jun-14;581.30;600.12;579.89;597.26
28-Jun-14;599.08;604.47;595.92;596.55
29-Jun-14;596.33;604.08;596.16;602.72
30-Jun-14;602.62;645.16;599.88;639.80
01-Jul-14;641.39;657.86;640.11;640.81
02-Jul-14;641.04;656.68;638.34;650.88
03-Jul-14;650.77;650.77;641.30;645.16
04-Jul-14;644.65;648.43;629.40;630.69
05-Jul-14;629.95;633.22;628.00;631.46
06-Jul-14;631.77;638.65;631.16;635.81
07-Jul-14;635.46;637.16;617.01;624.09
08-Jul-14;622.57;626.70;620.91;624.82
09-Jul-14;625.22;627.00;622.60;624.51
10-Jul-14;624.83;626.12;612.35;616.76
11-Jul-14;616.66;632.09;615.77;632.00
12-Jul-14;631.88;636.66;626.98;633.71
13-Jul-14;634.22;634.73;624.91;626.50
14-Jul-14;626.56;627.34;617.32;619.32
15-Jul-14;620.00;625.14;619.64;621.59
16-Jul-14;622.01;623.09;615.33;616.80
17-Jul-14;616.54;626.29;608.40;623.09
18-Jul-14;622.37;629.21;620.47;628.78
19-Jul-14;629.17;629.17;624.60;628.52
20-Jul-14;628.56;628.56;622.78;623.90
21-Jul-14;623.95;624.09;619.11;622.21
22-Jul-14;622.27;624.30;620.96;621.55
23-Jul-14;621.12;624.43;618.29;619.41
24-Jul-14;619.50;620.43;595.57;601.73
25-Jul-14;601.51;607.07;597.23;601.09
26-Jul-14;601.54;602.09;593.96;595.81
27-Jul-14;595.67;598.94;593.43;593.85
28-Jul-14;594.14;594.57;575.18;585.69
29-Jul-14;585.55;588.39;581.70;584.72
30-Jul-14;584.74;585.12;564.90;567.29
31-Jul-14;567.37;586.23;564.51;586.23
01-Aug-14;586.20;597.92;583.63;594.92
02-Aug-14;594.90;594.91;586.16;589.33
03-Aug-14;588.89;589.15;581.65;586.67
04-Aug-14;586.23;591.95;583.74;588.78
05-Aug-14;589.01;589.86;584.10;585.44
06-Aug-14;585.95;587.49;583.10;584.65
07-Aug-14;584.65;591.10;584.05;588.87
08-Aug-14;588.88;598.12;588.79;592.58
09-Aug-14;592.47;592.47;587.63;589.37
10-Aug-14;589.17;594.46;587.94;591.06
11-Aug-14;591.28;591.51;574.05;576.37
12-Aug-14;576.51;576.95;566.59;569.64
13-Aug-14;570.38;573.03;532.67;546.66
14-Aug-14;546.18;546.24;498.73;505.97
15-Aug-14;511.14;518.18;487.93;497.01
16-Aug-14;497.83;521.47;487.74;519.71
17-Aug-14;519.14;520.19;483.63;491.80
18-Aug-14;491.51;499.37;443.85;461.46
19-Aug-14;461.48;485.71;455.54;485.24
20-Aug-14;485.07;518.28;467.51;511.98
21-Aug-14;510.45;531.90;510.45;517.24
22-Aug-14;517.58;521.48;501.27;514.04
23-Aug-14;513.39;514.30;492.11;498.08
24-Aug-14;498.29;512.89;497.35;508.29
25-Aug-14;508.22;508.22;499.23;502.50
26-Aug-14;502.54;512.69;502.54;511.57
27-Aug-14;512.19;520.71;510.92;511.15
28-Aug-14;510.88;516.16;506.88;507.82
29-Aug-14;508.42;511.70;503.82;508.52
30-Aug-14;508.59;509.31;501.64;504.25
31-Aug-14;502.90;504.88;474.81;477.76
01-Sep-14;477.79;485.31;471.91;474.88
02-Sep-14;474.48;482.99;472.32;477.43
03-Sep-14;476.87;481.71;476.21;477.59
04-Sep-14;477.68;493.93;477.09;489.66
05-Sep-14;489.67;490.64;481.61;483.34
06-Sep-14;483.34;488.60;483.00;484.83
07-Sep-14;485.13;488.07;482.28;482.28
08-Sep-14;481.81;489.83;468.79;474.60
09-Sep-14;474.88;477.38;467.78;475.26
10-Sep-14;475.48;487.47;475.14;479.36
11-Sep-14;479.62;482.35;474.61;479.75
12-Sep-14;479.58;479.63;473.01;477.75
13-Sep-14;477.79;482.12;475.10;479.00
14-Sep-14;479.12;479.85;476.12;477.89
15-Sep-14;477.77;478.62;474.02;475.37
16-Sep-14;474.86;475.64;465.13;466.06
17-Sep-14;465.86;468.17;452.42;457.33
18-Sep-14;456.86;456.86;413.10;424.44
19-Sep-14;424.10;427.83;384.53;394.80
20-Sep-14;394.67;423.30;389.88;408.90
21-Sep-14;408.08;412.43;393.18;398.82
22-Sep-14;399.10;406.92;397.13;402.15
23-Sep-14;402.09;441.56;396.20;435.79
24-Sep-14;435.75;436.11;421.13;423.20
25-Sep-14;423.16;423.52;409.47;411.57
26-Sep-14;411.43;414.94;400.01;404.42
27-Sep-14;403.56;406.62;397.37;399.52
28-Sep-14;399.47;401.02;374.33;377.18
29-Sep-14;376.93;385.21;372.24;375.47
30-Sep-14;376.09;390.98;373.44;386.94
01-Oct-14;387.43;391.38;380.78;383.61
02-Oct-14;383.99;385.50;372.95;375.07
03-Oct-14;375.18;377.70;357.86;359.51
04-Oct-14;359.89;364.49;325.89;328.87
05-Oct-14;328.92;341.80;289.30;320.51
06-Oct-14;320.39;345.13;302.56;330.08
07-Oct-14;330.58;339.25;320.48;336.19
08-Oct-14;336.12;354.36;327.19;352.94
09-Oct-14;352.75;382.73;347.69;365.03
10-Oct-14;364.69;375.07;352.96;361.56
11-Oct-14;361.36;367.19;355.95;362.30
12-Oct-14;362.61;379.43;356.14;378.55
13-Oct-14;377.92;397.23;368.90;390.41
14-Oct-14;391.69;411.70;391.32;400.87
15-Oct-14;400.95;402.23;388.77;394.77
16-Oct-14;394.52;398.81;373.07;382.56
17-Oct-14;382.76;385.48;375.39;383.76
18-Oct-14;383.98;395.16;378.97;391.44
19-Oct-14;391.25;393.94;386.46;389.55
20-Oct-14;389.23;390.08;378.25;382.85
21-Oct-14;382.42;392.65;380.83;386.48
22-Oct-14;386.12;388.58;382.25;383.16
23-Oct-14;382.96;385.05;356.45;358.42
24-Oct-14;358.59;364.35;353.30;358.35
25-Oct-14;358.61;359.86;342.88;347.27
26-Oct-14;347.49;359.22;343.93;354.70
27-Oct-14;354.78;358.63;349.81;352.99
28-Oct-14;353.21;359.98;352.68;357.62
29-Oct-14;357.09;357.83;335.34;335.59
30-Oct-14;335.71;350.91;335.07;345.30
31-Oct-14;345.01;348.05;337.14;338.32
01-Nov-14;338.65;340.53;321.05;325.75
02-Nov-14;326.08;329.05;320.63;325.89
03-Nov-14;325.57;334.00;325.48;327.55
04-Nov-14;327.16;331.77;325.08;330.49
05-Nov-14;330.68;343.37;330.68;339.49
06-Nov-14;339.46;352.97;338.42;349.29
07-Nov-14;349.82;352.73;341.78;342.42
08-Nov-14;342.15;347.03;342.15;345.49
09-Nov-14;345.38;363.63;344.26;363.26
10-Nov-14;362.27;374.82;357.56;366.92
11-Nov-14;365.86;371.31;363.73;367.70
12-Nov-14;367.98;429.72;367.98;423.56
13-Nov-14;427.27;457.09;401.12;420.73
14-Nov-14;418.42;419.25;384.79;397.82
15-Nov-14;399.65;405.53;371.01;376.13
16-Nov-14;374.73;390.80;374.60;387.88
17-Nov-14;388.35;410.20;377.50;387.41
18-Nov-14;387.79;392.40;371.12;375.20
19-Nov-14;373.90;386.48;373.90;380.55
20-Nov-14;380.31;382.02;356.78;357.84
21-Nov-14;357.88;357.88;344.11;350.85
22-Nov-14;351.60;364.84;350.88;352.92
23-Nov-14;353.17;370.85;353.17;367.57
24-Nov-14;366.95;387.21;366.67;376.90
25-Nov-14;376.89;394.70;374.78;375.35
26-Nov-14;376.02;377.70;365.82;368.37
27-Nov-14;370.50;373.99;368.28;369.67
28-Nov-14;369.37;382.84;358.45;376.45
29-Nov-14;376.15;387.60;372.14;375.49
30-Nov-14;375.51;382.53;373.31;378.05
01-Dec-14;378.25;383.66;376.67;379.24
02-Dec-14;379.25;384.04;377.86;381.32
03-Dec-14;381.72;383.03;374.35;375.01
04-Dec-14;375.72;378.65;367.76;369.60
05-Dec-14;369.44;379.19;365.76;376.85
06-Dec-14;376.76;378.45;370.95;374.79
07-Dec-14;374.84;376.29;373.27;375.10
08-Dec-14;374.96;376.03;361.89;361.91
09-Dec-14;361.89;363.07;344.95;352.22
10-Dec-14;352.20;352.38;346.36;346.36
11-Dec-14;344.34;361.36;338.76;350.51
12-Dec-14;350.83;352.98;349.29;352.54
13-Dec-14;352.38;352.38;346.59;347.38
14-Dec-14;346.73;353.32;345.42;351.63
15-Dec-14;351.36;351.82;344.93;345.35
16-Dec-14;345.67;345.86;327.06;327.06
17-Dec-14;326.86;333.95;315.15;319.78
18-Dec-14;319.79;323.71;304.23;311.40
19-Dec-14;311.18;318.53;306.77;317.84
20-Dec-14;317.62;330.33;316.04;329.96
21-Dec-14;329.54;329.63;318.90;320.84
22-Dec-14;321.07;334.12;320.42;331.89
23-Dec-14;332.02;336.29;329.60;334.57
24-Dec-14;334.39;334.74;321.36;322.53
25-Dec-14;322.29;322.67;316.96;319.01
26-Dec-14;319.15;331.42;316.63;327.92
27-Dec-14;327.58;328.91;312.63;315.86
28-Dec-14;316.16;320.03;311.08;317.24
29-Dec-14;317.70;320.27;312.31;312.67
30-Dec-14;312.72;314.81;309.37;310.74
31-Dec-14;310.91;320.19;310.21;320.19
01-Jan-15;320.43;320.43;314.00;314.25
02-Jan-15;314.08;315.84;313.57;315.03
03-Jan-15;314.85;315.15;281.08;281.08
04-Jan-15;281.15;287.23;257.61;264.20
05-Jan-15;265.08;278.34;265.08;274.47
06-Jan-15;274.61;287.55;272.70;286.19
07-Jan-15;286.08;298.75;283.08;294.34
08-Jan-15;294.14;294.14;282.17;283.35
09-Jan-15;282.38;291.11;280.53;290.41
10-Jan-15;287.30;288.13;273.97;274.80
11-Jan-15;274.61;279.64;265.04;265.66
12-Jan-15;266.15;272.20;265.20;267.80
13-Jan-15;267.39;268.28;219.91;225.86
14-Jan-15;223.89;223.89;171.51;178.10
15-Jan-15;176.90;229.07;176.90;209.84
16-Jan-15;209.07;221.59;199.77;208.10
17-Jan-15;207.83;211.73;194.88;199.26
18-Jan-15;200.05;218.70;194.51;210.34
19-Jan-15;211.47;216.73;207.32;214.86
20-Jan-15;212.91;215.24;205.15;211.32
21-Jan-15;211.38;227.79;211.21;226.90
22-Jan-15;227.32;237.02;226.43;233.41
23-Jan-15;233.52;234.85;225.20;232.88
24-Jan-15;232.70;248.21;230.02;247.85
25-Jan-15;247.35;255.07;243.89;253.72
26-Jan-15;254.08;309.38;254.08;273.47
27-Jan-15;273.17;275.48;250.65;263.48
28-Jan-15;263.35;266.54;227.05;233.91
29-Jan-15;233.35;238.71;220.71;233.51
30-Jan-15;232.77;242.85;225.84;226.43
31-Jan-15;226.44;233.50;216.31;217.46
01-Feb-15;216.87;231.57;212.01;226.97
02-Feb-15;226.49;242.18;222.66;238.23
03-Feb-15;237.45;245.96;224.48;227.27
04-Feb-15;227.51;230.06;221.11;226.85
05-Feb-15;227.66;239.40;214.73;217.11
06-Feb-15;216.92;230.51;216.23;222.27
07-Feb-15;222.63;230.30;222.61;227.75
08-Feb-15;227.69;229.44;221.08;223.41
09-Feb-15;223.39;223.98;217.02;220.11
10-Feb-15;220.28;221.81;215.33;219.84
11-Feb-15;219.73;223.41;218.07;219.18
12-Feb-15;219.21;222.20;217.61;221.76
13-Feb-15;221.97;240.26;221.26;235.43
14-Feb-15;235.53;259.81;235.53;257.32
15-Feb-15;257.51;265.61;227.68;234.82
16-Feb-15;234.82;239.52;229.02;233.84
17-Feb-15;233.42;245.77;232.31;243.61
18-Feb-15;243.78;244.25;232.34;236.33
19-Feb-15;236.41;242.67;235.59;240.28
20-Feb-15;240.25;247.10;239.30;243.78
21-Feb-15;243.75;255.32;243.18;244.53
22-Feb-15;244.54;246.39;233.85;235.98
23-Feb-15;235.99;240.11;232.42;238.89
24-Feb-15;239.00;239.90;236.40;238.74
25-Feb-15;238.89;239.34;235.53;237.47
26-Feb-15;237.34;237.71;234.26;236.43
27-Feb-15;236.44;256.65;236.44;253.83
28-Feb-15;253.52;254.69;249.48;254.26
01-Mar-15;254.28;261.66;245.93;260.20
02-Mar-15;260.36;276.30;258.31;275.67
03-Mar-15;275.05;285.80;268.16;281.70
04-Mar-15;281.99;284.23;268.13;273.09
05-Mar-15;272.74;281.67;264.77;276.18
06-Mar-15;275.60;277.61;270.02;272.72
07-Mar-15;272.29;277.85;270.13;276.26
08-Mar-15;276.43;277.86;272.57;274.35
09-Mar-15;274.81;292.70;273.89;289.61
10-Mar-15;289.86;300.04;289.74;291.76
11-Mar-15;291.52;297.39;290.51;296.38
12-Mar-15;296.13;297.09;292.41;294.35
13-Mar-15;294.12;294.50;285.34;285.34
14-Mar-15;284.44;286.34;280.98;281.89
15-Mar-15;281.42;286.53;281.00;286.39
16-Mar-15;285.68;294.11;285.68;290.59
17-Mar-15;290.60;292.36;284.37;285.51
